Topic 0(0.047):	kindl(0.092)	fire(0.060)	hdx(0.053)	love(0.043)	read(0.025)	hd(0.017)	book(0.017)	screen(0.014)	ipad(0.011)	display(0.011)	devic(0.009)	amazon(0.009)	color(0.008)	better(0.008)	great(0.007)	blue(0.007)	year(0.007)	easi(0.007)	upgrad(0.007)	good(0.007)	size(0.006)	bought(0.006)	notic(0.006)	purchas(0.006)	best(0.006)	origin(0.006)	buy(0.006)	nexus(0.006)	review(0.005)	amaz(0.005)	time(0.005)	light(0.005)	white(0.005)	happi(0.005)	featur(0.004)	mini(0.004)	problem(0.004)	enjoy(0.004)	offer(0.004)	awesom(0.004)	clear(0.004)	christma(0.004)	thing(0.004)	app(0.004)	generat(0.004)	reader(0.004)	help(0.004)	work(0.003)	perfect(0.003)	absolut(0.003)	
Topic 20(0.019):	camera(0.127)	front(0.042)	face(0.034)	pictur(0.027)	rear(0.024)	work(0.019)	bad(0.017)	video(0.016)	skype(0.014)	good(0.013)	better(0.012)	lack(0.011)	photo(0.011)	qualiti(0.010)	time(0.009)	imag(0.009)	pic(0.009)	disappoint(0.009)	app(0.009)	model(0.009)	screen(0.008)	reason(0.008)	great(0.008)	devic(0.007)	egg(0.007)	horribl(0.007)	focus(0.007)	useless(0.007)	featur(0.007)	kindl(0.007)	con(0.006)	low(0.006)	cheap(0.006)	complaint(0.006)	slow(0.006)	star(0.006)	impress(0.006)	flash(0.005)	restart(0.005)	annoy(0.005)	difficult(0.005)	crack(0.005)	fail(0.005)	weak(0.005)	case(0.005)	stuck(0.004)	unit(0.004)	crash(0.004)	speaker(0.004)	freez(0.004)	
Topic 21(0.018):	slow(0.050)	respons(0.026)	processor(0.025)	perform(0.025)	core(0.022)	speed(0.020)	ram(0.018)	app(0.016)	process(0.014)	lot(0.014)	expect(0.013)	screen(0.013)	cpu(0.012)	freez(0.012)	samsung(0.012)	fast(0.011)	quad(0.011)	dual(0.010)	intel(0.009)	better(0.009)	lag(0.009)	touch(0.008)	disappoint(0.008)	gb(0.008)	quadcor(0.008)	atom(0.008)	piec(0.008)	bad(0.008)	singl(0.008)	time(0.008)	game(0.007)	program(0.007)	issu(0.007)	gpu(0.007)	frustrat(0.007)	con(0.007)	comput(0.007)	reset(0.006)	weak(0.006)	work(0.006)	junk(0.006)	devic(0.006)	respond(0.006)	wifi(0.006)	horribl(0.006)	dead(0.006)	load(0.006)	slower(0.006)	reboot(0.006)	terribl(0.005)	
Topic 22(0.015):	card(0.069)	sd(0.053)	memori(0.049)	app(0.038)	storag(0.025)	slot(0.024)	gb(0.020)	intern(0.020)	space(0.019)	micro(0.016)	model(0.012)	move(0.012)	16gb(0.012)	microsd(0.012)	32gb(0.011)	instal(0.010)	file(0.010)	8gb(0.009)	devic(0.008)	data(0.008)	store(0.007)	expand(0.007)	bit(0.007)	android(0.007)	lack(0.007)	extern(0.007)	recogn(0.007)	annoy(0.006)	pictur(0.006)	issu(0.005)	save(0.005)	cover(0.005)	complaint(0.005)	slow(0.005)	stuck(0.005)	allow(0.005)	remov(0.004)	samsung(0.004)	transfer(0.004)	addit(0.004)	useless(0.004)	speed(0.004)	option(0.004)	crash(0.004)	expans(0.004)	defect(0.004)	con(0.004)	restart(0.004)	difficult(0.004)	random(0.004)	
Topic 23(0.031):	wifi(0.040)	connect(0.038)	problem(0.035)	devic(0.019)	time(0.019)	slow(0.015)	work(0.014)	network(0.014)	internet(0.014)	issu(0.012)	wireless(0.012)	signal(0.011)	browser(0.011)	drop(0.011)	router(0.010)	updat(0.010)	reset(0.010)	web(0.009)	app(0.008)	crash(0.008)	freez(0.008)	reboot(0.007)	set(0.007)	day(0.007)	factori(0.006)	brows(0.006)	phone(0.006)	restart(0.006)	android(0.006)	screen(0.006)	unit(0.006)	week(0.006)	googl(0.005)	search(0.005)	turn(0.005)	ipad(0.005)	disconnect(0.005)	constant(0.005)	access(0.005)	lot(0.005)	minut(0.005)	stay(0.004)	strength(0.004)	function(0.004)	good(0.004)	email(0.004)	comput(0.004)	firmwar(0.004)	weak(0.004)	star(0.004)	
Topic 24(0.029):	screen(0.071)	touch(0.057)	keyboard(0.032)	time(0.023)	work(0.023)	crack(0.018)	type(0.015)	dock(0.014)	cover(0.012)	week(0.011)	start(0.010)	write(0.009)	pen(0.009)	day(0.009)	problem(0.009)	reboot(0.009)	respond(0.009)	unrespons(0.008)	app(0.007)	month(0.007)	input(0.007)	area(0.007)	drop(0.007)	issu(0.006)	regist(0.006)	open(0.006)	press(0.006)	button(0.006)	complet(0.006)	random(0.006)	case(0.006)	text(0.005)	respons(0.005)	second(0.005)	tap(0.005)	reset(0.005)	freez(0.005)	close(0.005)	box(0.005)	turn(0.005)	warranti(0.004)	sensit(0.004)	difficult(0.004)	letter(0.004)	repair(0.004)	dragon(0.004)	buy(0.004)	stylus(0.004)	click(0.004)	station(0.004)	
Topic 25(0.074):	screen(0.017)	devic(0.014)	ipad(0.012)	android(0.011)	app(0.011)	work(0.011)	asus(0.008)	samsung(0.008)	amazon(0.008)	issu(0.007)	thing(0.007)	time(0.007)	case(0.007)	updat(0.007)	kindl(0.006)	product(0.006)	good(0.006)	find(0.006)	nexus(0.005)	appl(0.005)	buy(0.005)	softwar(0.005)	review(0.005)	keyboard(0.005)	better(0.005)	problem(0.005)	button(0.005)	galaxi(0.005)	bit(0.005)	great(0.005)	feel(0.005)	featur(0.004)	fire(0.004)	bought(0.004)	price(0.004)	year(0.004)	pen(0.004)	compar(0.004)	nice(0.004)	function(0.004)	os(0.004)	tab(0.004)	read(0.004)	batteri(0.004)	user(0.004)	version(0.004)	hardwar(0.004)	hdx(0.004)	purchas(0.004)	qualiti(0.004)	
Topic 26(0.018):	usb(0.074)	port(0.052)	charg(0.045)	cabl(0.029)	keyboard(0.022)	micro(0.022)	adapt(0.020)	hdmi(0.019)	power(0.016)	plug(0.016)	connect(0.016)	charger(0.015)	devic(0.012)	proprietari(0.012)	connector(0.012)	work(0.011)	drive(0.008)	standard(0.008)	annoy(0.007)	microusb(0.007)	case(0.006)	lack(0.006)	dock(0.006)	comput(0.006)	mini(0.006)	extern(0.006)	ac(0.006)	pin(0.006)	phone(0.006)	con(0.006)	includ(0.006)	useless(0.006)	fail(0.005)	support(0.005)	bluetooth(0.005)	hook(0.005)	disappoint(0.005)	acer(0.005)	stick(0.004)	nice(0.004)	plastic(0.004)	purchas(0.004)	short(0.004)	difficult(0.004)	dongl(0.004)	transfer(0.004)	extra(0.004)	crack(0.004)	broken(0.004)	design(0.004)	
Topic 27(0.022):	system(0.035)	lock(0.028)	work(0.027)	freez(0.023)	con(0.020)	slow(0.020)	thing(0.019)	month(0.019)	gps(0.018)	oper(0.017)	android(0.016)	bought(0.016)	instal(0.015)	problem(0.015)	crash(0.015)	time(0.013)	love(0.013)	start(0.013)	app(0.011)	unit(0.010)	horribl(0.010)	die(0.010)	reset(0.009)	bad(0.009)	upgrad(0.009)	reboot(0.009)	asus(0.009)	restart(0.008)	chip(0.008)	worst(0.008)	pretti(0.008)	frustrat(0.007)	stuck(0.007)	repair(0.007)	constant(0.007)	year(0.007)	useless(0.007)	shut(0.007)	disappoint(0.007)	load(0.007)	terribl(0.007)	lack(0.007)	complaint(0.006)	set(0.006)	annoy(0.006)	return(0.006)	random(0.006)	crack(0.006)	instruct(0.005)	driver(0.005)	
Topic 28(0.049):	support(0.024)	custom(0.024)	servic(0.022)	call(0.021)	return(0.021)	asus(0.021)	replac(0.017)	product(0.016)	repair(0.016)	send(0.015)	problem(0.014)	contact(0.013)	warranti(0.013)	help(0.013)	amazon(0.013)	time(0.013)	email(0.012)	ship(0.012)	told(0.011)	tech(0.011)	issu(0.011)	work(0.011)	day(0.010)	receiv(0.010)	compani(0.008)	week(0.008)	devic(0.007)	number(0.007)	seller(0.007)	buy(0.007)	screen(0.007)	rma(0.007)	cost(0.007)	unit(0.006)	samsung(0.006)	order(0.006)	phone(0.006)	month(0.006)	purchas(0.005)	updat(0.005)	hope(0.005)	final(0.005)	newegg(0.005)	respons(0.005)	find(0.005)	happi(0.005)	reset(0.005)	factori(0.005)	pay(0.005)	refund(0.005)	
Topic 29(0.020):	window(0.050)	screen(0.038)	work(0.026)	time(0.023)	updat(0.019)	softwar(0.015)	issu(0.013)	finger(0.013)	restart(0.012)	crash(0.012)	shut(0.011)	touchscreen(0.011)	thing(0.011)	slow(0.010)	disappoint(0.010)	complet(0.010)	small(0.009)	week(0.009)	difficult(0.008)	find(0.008)	delet(0.008)	boot(0.008)	con(0.008)	scroll(0.008)	random(0.008)	app(0.008)	instal(0.008)	respond(0.008)	reset(0.007)	machin(0.007)	os(0.007)	reboot(0.007)	annoy(0.007)	freez(0.007)	hardwar(0.007)	move(0.007)	fail(0.007)	mous(0.007)	set(0.006)	great(0.006)	desktop(0.006)	microsoft(0.006)	frustrat(0.006)	dead(0.006)	problem(0.006)	devic(0.006)	complaint(0.006)	touch(0.006)	instruct(0.005)	bit(0.005)	
