Topic 0(0.013):	screen(0.026)	great(0.026)	good(0.026)	size(0.026)	respons(0.026)	resolut(0.025)	touch(0.025)	clear(0.025)	love(0.025)	color(0.024)	view(0.024)	small(0.024)	bright(0.024)	beauti(0.023)	nice(0.023)	button(0.023)	hd(0.023)	inch(0.023)	scratch(0.023)	finger(0.023)	sensit(0.022)	glass(0.022)	angl(0.022)	best(0.022)	larger(0.021)	recommend(0.021)	perfect(0.021)	happi(0.021)	excel(0.021)	bigger(0.021)	worth(0.020)	awesom(0.020)	amaz(0.020)	impress(0.020)	correct(0.019)	glad(0.019)	posit(0.019)	fantast(0.019)	fun(0.019)	comfort(0.019)	satisfi(0.019)	favorit(0.019)	qualiti(0.000)	display(0.000)	light(0.000)	reason(0.000)	experi(0.000)	box(0.000)	hope(0.000)	bit(0.000)	
Topic 11(0.012):	great(0.039)	good(0.039)	usb(0.038)	love(0.036)	port(0.035)	full(0.035)	nice(0.033)	adapt(0.033)	flash(0.032)	drive(0.032)	cabl(0.031)	hdmi(0.031)	best(0.030)	recommend(0.030)	extern(0.030)	perfect(0.028)	happi(0.028)	excel(0.028)	worth(0.028)	awesom(0.027)	amaz(0.027)	impress(0.026)	fun(0.026)	glad(0.026)	correct(0.026)	posit(0.026)	fantast(0.026)	satisfi(0.025)	favorit(0.025)	comfort(0.025)	lot(0.000)	includ(0.000)	day(0.000)	return(0.000)	easi(0.000)	complet(0.000)	custom(0.000)	work(0.000)	life(0.000)	laptop(0.000)	item(0.000)	second(0.000)	size(0.000)	bluetooth(0.000)	thin(0.000)	cours(0.000)	shop(0.000)	card(0.000)	figur(0.000)	email(0.000)	
Topic 12(0.012):	great(0.047)	good(0.046)	love(0.044)	nice(0.039)	gps(0.036)	lock(0.035)	best(0.035)	recommend(0.035)	useless(0.034)	happi(0.034)	perfect(0.033)	worth(0.033)	excel(0.033)	awesom(0.032)	insid(0.032)	amaz(0.032)	navig(0.032)	impress(0.031)	fun(0.030)	glad(0.030)	correct(0.030)	fantast(0.030)	posit(0.030)	satisfi(0.030)	favorit(0.030)	comfort(0.030)	return(0.000)	spec(0.000)	wife(0.000)	light(0.000)	review(0.000)	receiv(0.000)	star(0.000)	applic(0.000)	deal(0.000)	school(0.000)	sale(0.000)	blue(0.000)	fact(0.000)	today(0.000)	respons(0.000)	abil(0.000)	wait(0.000)	stay(0.000)	paper(0.000)	weight(0.000)	high(0.000)	half(0.000)	electron(0.000)	protect(0.000)	
Topic 13(0.012):	good(0.038)	great(0.038)	support(0.037)	custom(0.036)	love(0.035)	servic(0.034)	call(0.034)	tech(0.032)	contact(0.032)	seller(0.032)	nice(0.032)	packag(0.032)	advertis(0.031)	best(0.030)	recommend(0.030)	happi(0.028)	perfect(0.028)	excel(0.028)	worth(0.028)	awesom(0.027)	amaz(0.027)	impress(0.026)	posit(0.026)	glad(0.026)	fun(0.026)	fantast(0.026)	correct(0.026)	satisfi(0.026)	favorit(0.025)	comfort(0.025)	friend(0.000)	bought(0.000)	return(0.000)	wife(0.000)	stuff(0.000)	frustrat(0.000)	manual(0.000)	qualiti(0.000)	size(0.000)	includ(0.000)	light(0.000)	googl(0.000)	box(0.000)	netflix(0.000)	time(0.000)	enjoy(0.000)	cheap(0.000)	factori(0.000)	touchscreen(0.000)	learn(0.000)	
Topic 14(0.012):	easi(0.041)	great(0.039)	good(0.037)	love(0.036)	set(0.036)	hold(0.036)	hand(0.034)	nice(0.033)	move(0.031)	carri(0.031)	best(0.030)	click(0.030)	recommend(0.030)	mous(0.029)	perfect(0.029)	happi(0.028)	worth(0.028)	excel(0.028)	awesom(0.028)	navig(0.027)	amaz(0.027)	impress(0.026)	fun(0.026)	fantast(0.026)	posit(0.026)	correct(0.026)	glad(0.026)	comfort(0.026)	satisfi(0.026)	favorit(0.025)	time(0.000)	experi(0.000)	annoy(0.000)	extra(0.000)	upgrad(0.000)	price(0.000)	year(0.000)	dead(0.000)	return(0.000)	function(0.000)	friend(0.000)	day(0.000)	app(0.000)	bright(0.000)	die(0.000)	wonder(0.000)	big(0.000)	figur(0.000)	slow(0.000)	usb(0.000)	
Topic 15(0.013):	screen(0.035)	respons(0.033)	touch(0.032)	size(0.032)	clear(0.031)	resolut(0.031)	small(0.031)	bright(0.030)	color(0.030)	button(0.029)	view(0.029)	beauti(0.028)	problem(0.028)	inch(0.028)	scratch(0.028)	hd(0.028)	glass(0.027)	finger(0.027)	sensit(0.027)	angl(0.026)	larger(0.026)	bad(0.025)	bigger(0.025)	disappoint(0.024)	wast(0.023)	wrong(0.023)	complain(0.023)	terribl(0.022)	complaint(0.022)	troubl(0.022)	worst(0.022)	junk(0.022)	hate(0.022)	regret(0.022)	high(0.000)	reason(0.000)	easi(0.000)	great(0.000)	download(0.000)	set(0.000)	nt(0.000)	fast(0.000)	feel(0.000)	play(0.000)	mode(0.000)	phone(0.000)	write(0.000)	suck(0.000)	choic(0.000)	expect(0.000)	
Topic 16(0.013):	app(0.030)	work(0.030)	load(0.030)	download(0.030)	web(0.030)	read(0.030)	instal(0.030)	play(0.030)	email(0.029)	game(0.029)	os(0.028)	store(0.028)	book(0.028)	free(0.028)	browser(0.028)	brows(0.027)	netflix(0.027)	market(0.027)	access(0.027)	music(0.027)	problem(0.026)	file(0.026)	facebook(0.024)	develop(0.024)	bad(0.023)	disappoint(0.022)	wast(0.021)	wrong(0.021)	complaint(0.021)	complain(0.021)	troubl(0.021)	terribl(0.021)	junk(0.020)	hate(0.020)	worst(0.020)	regret(0.020)	search(0.000)	older(0.000)	phone(0.000)	wife(0.000)	fast(0.000)	portabl(0.000)	expect(0.000)	onlin(0.000)	notic(0.000)	standard(0.000)	nt(0.000)	limit(0.000)	complet(0.000)	drop(0.000)	
Topic 17(0.013):	bought(0.065)	purchas(0.061)	christma(0.059)	price(0.057)	year(0.057)	gift(0.054)	daughter(0.048)	problem(0.047)	bad(0.038)	disappoint(0.038)	wast(0.034)	wrong(0.034)	terribl(0.034)	complaint(0.034)	troubl(0.033)	junk(0.033)	hate(0.033)	complain(0.033)	worst(0.033)	regret(0.033)	extra(0.000)	rate(0.000)	decent(0.000)	buy(0.000)	deal(0.000)	wife(0.000)	help(0.000)	resolut(0.000)	decid(0.000)	easi(0.000)	turn(0.000)	time(0.000)	reset(0.000)	base(0.000)	worri(0.000)	black(0.000)	cheaper(0.000)	honest(0.000)	work(0.000)	screen(0.000)	thought(0.000)	nt(0.000)	electron(0.000)	coupl(0.000)	slow(0.000)	check(0.000)	card(0.000)	appear(0.000)	thing(0.000)	better(0.000)	
Topic 18(0.013):	charg(0.037)	batteri(0.037)	long(0.037)	power(0.036)	day(0.036)	hour(0.035)	replac(0.035)	life(0.034)	charger(0.034)	plug(0.034)	port(0.033)	problem(0.032)	longer(0.032)	cord(0.031)	cabl(0.031)	fulli(0.030)	drain(0.029)	hdmi(0.029)	bad(0.028)	disappoint(0.027)	wast(0.025)	wrong(0.025)	terribl(0.025)	complaint(0.025)	hate(0.025)	complain(0.025)	troubl(0.025)	worst(0.025)	junk(0.025)	regret(0.024)	thought(0.000)	slow(0.000)	item(0.000)	year(0.000)	small(0.000)	time(0.000)	reason(0.000)	processor(0.000)	freez(0.000)	lag(0.000)	low(0.000)	star(0.000)	short(0.000)	better(0.000)	receiv(0.000)	turn(0.000)	micro(0.000)	allow(0.000)	kind(0.000)	memori(0.000)	
Topic 19(0.012):	sound(0.062)	speaker(0.062)	problem(0.051)	volum(0.050)	headphon(0.046)	audio(0.044)	hear(0.043)	loud(0.042)	bad(0.041)	disappoint(0.041)	terribl(0.036)	wast(0.036)	wrong(0.036)	junk(0.036)	complain(0.036)	troubl(0.036)	complaint(0.036)	worst(0.036)	hate(0.035)	regret(0.035)	month(0.001)	enjoy(0.000)	screen(0.000)	bought(0.000)	laptop(0.000)	sit(0.000)	drop(0.000)	spend(0.000)	read(0.000)	nt(0.000)	remov(0.000)	listen(0.000)	capabl(0.000)	receiv(0.000)	cover(0.000)	spec(0.000)	task(0.000)	stay(0.000)	guess(0.000)	super(0.000)	fast(0.000)	piec(0.000)	kid(0.000)	check(0.000)	chang(0.000)	easili(0.000)	display(0.000)	load(0.000)	expens(0.000)	built(0.000)	
Topic 20(0.013):	camera(0.069)	qualiti(0.059)	pictur(0.052)	video(0.049)	front(0.047)	problem(0.043)	build(0.042)	face(0.042)	skype(0.039)	rear(0.038)	bad(0.036)	disappoint(0.035)	wast(0.032)	wrong(0.032)	complain(0.032)	terribl(0.032)	troubl(0.032)	complaint(0.031)	junk(0.031)	worst(0.031)	hate(0.031)	regret(0.031)	surpris(0.000)	better(0.000)	pc(0.000)	return(0.000)	limit(0.000)	brand(0.000)	good(0.000)	hope(0.000)	updat(0.000)	expect(0.000)	easili(0.000)	wonder(0.000)	solid(0.000)	download(0.000)	crash(0.000)	imag(0.000)	guess(0.000)	inch(0.000)	smaller(0.000)	model(0.000)	listen(0.000)	sale(0.000)	super(0.000)	money(0.000)	higher(0.000)	option(0.000)	consid(0.000)	space(0.000)	
Topic 21(0.012):	processor(0.056)	speed(0.051)	core(0.048)	ram(0.047)	problem(0.046)	faster(0.045)	handl(0.042)	quad(0.041)	cpu(0.040)	bad(0.038)	dual(0.038)	disappoint(0.037)	wast(0.034)	wrong(0.034)	troubl(0.033)	junk(0.033)	complain(0.033)	complaint(0.033)	hate(0.033)	terribl(0.033)	worst(0.033)	regret(0.032)	bright(0.000)	real(0.000)	notic(0.000)	kind(0.000)	easili(0.000)	spec(0.000)	fail(0.000)	buy(0.000)	thing(0.000)	true(0.000)	easi(0.000)	major(0.000)	meet(0.000)	charg(0.000)	extra(0.000)	smooth(0.000)	complet(0.000)	hold(0.000)	big(0.000)	enjoy(0.000)	cool(0.000)	figur(0.000)	fact(0.000)	reset(0.000)	check(0.000)	mine(0.000)	month(0.000)	difficult(0.000)	
Topic 22(0.013):	card(0.058)	sd(0.052)	memori(0.049)	storag(0.042)	micro(0.040)	slot(0.039)	gb(0.039)	intern(0.035)	problem(0.034)	32gb(0.033)	microsd(0.032)	16gb(0.031)	expand(0.031)	recogn(0.029)	bad(0.029)	stick(0.029)	disappoint(0.029)	wast(0.027)	wrong(0.026)	complain(0.026)	complaint(0.026)	terribl(0.026)	troubl(0.026)	hate(0.026)	junk(0.026)	worst(0.026)	regret(0.026)	mine(0.000)	save(0.000)	week(0.000)	version(0.000)	onlin(0.000)	return(0.000)	remov(0.000)	android(0.000)	cover(0.000)	usb(0.000)	display(0.000)	help(0.000)	proper(0.000)	pretti(0.000)	minor(0.000)	real(0.000)	annoy(0.000)	learn(0.000)	star(0.000)	big(0.000)	low(0.000)	os(0.000)	machin(0.000)	
Topic 23(0.012):	connect(0.059)	wifi(0.056)	internet(0.053)	network(0.049)	problem(0.047)	wireless(0.046)	surf(0.041)	router(0.040)	signal(0.039)	mobil(0.038)	bad(0.036)	disappoint(0.036)	terribl(0.033)	wast(0.033)	wrong(0.033)	complaint(0.032)	troubl(0.032)	junk(0.032)	complain(0.032)	hate(0.032)	worst(0.032)	regret(0.031)	stay(0.000)	price(0.000)	purchas(0.000)	phone(0.000)	option(0.000)	post(0.000)	search(0.000)	week(0.000)	high(0.000)	rang(0.000)	fail(0.000)	load(0.000)	enjoy(0.000)	basic(0.000)	version(0.000)	eas(0.000)	day(0.000)	better(0.000)	easi(0.000)	shut(0.000)	system(0.000)	start(0.000)	side(0.000)	year(0.000)	function(0.000)	arriv(0.000)	pain(0.000)	true(0.000)	
Topic 24(0.012):	keyboard(0.074)	dock(0.064)	type(0.058)	problem(0.057)	transform(0.054)	prime(0.048)	bad(0.045)	disappoint(0.043)	wast(0.039)	wrong(0.039)	terribl(0.038)	complaint(0.038)	troubl(0.038)	complain(0.038)	worst(0.038)	junk(0.038)	hate(0.038)	regret(0.037)	pretti(0.001)	base(0.000)	hope(0.000)	option(0.000)	function(0.000)	broke(0.000)	phone(0.000)	difficult(0.000)	fast(0.000)	money(0.000)	enjoy(0.000)	blue(0.000)	time(0.000)	play(0.000)	person(0.000)	black(0.000)	app(0.000)	allow(0.000)	annoy(0.000)	work(0.000)	pad(0.000)	perform(0.000)	extra(0.000)	touchscreen(0.000)	mention(0.000)	stay(0.000)	month(0.000)	accessori(0.000)	account(0.000)	better(0.000)	easi(0.000)	final(0.000)	
Topic 25(0.012):	tab(0.077)	bluetooth(0.068)	problem(0.066)	busi(0.056)	bad(0.051)	disappoint(0.049)	wast(0.044)	wrong(0.044)	terribl(0.043)	complaint(0.043)	complain(0.043)	troubl(0.043)	junk(0.043)	hate(0.042)	worst(0.042)	regret(0.042)	work(0.001)	hope(0.001)	big(0.001)	screen(0.001)	plan(0.001)	design(0.001)	turn(0.001)	enjoy(0.001)	total(0.001)	laptop(0.001)	reason(0.001)	ship(0.001)	ipad(0.001)	extra(0.001)	thought(0.001)	piec(0.001)	return(0.001)	decent(0.000)	issu(0.000)	list(0.000)	price(0.000)	absolut(0.000)	save(0.000)	egg(0.000)	instal(0.000)	box(0.000)	wait(0.000)	short(0.000)	ago(0.000)	initi(0.000)	compar(0.000)	order(0.000)	web(0.000)	bought(0.000)	
Topic 26(0.012):	usb(0.067)	port(0.052)	adapt(0.049)	full(0.048)	drive(0.046)	cabl(0.045)	problem(0.045)	flash(0.044)	hdmi(0.043)	extern(0.039)	bad(0.036)	disappoint(0.035)	wrong(0.032)	wast(0.032)	complaint(0.032)	terribl(0.032)	complain(0.032)	troubl(0.031)	junk(0.031)	worst(0.031)	hate(0.031)	regret(0.031)	list(0.000)	wait(0.000)	basic(0.000)	onlin(0.000)	heavi(0.000)	lot(0.000)	connector(0.000)	support(0.000)	laptop(0.000)	work(0.000)	bluetooth(0.000)	limit(0.000)	stay(0.000)	year(0.000)	con(0.000)	function(0.000)	stand(0.000)	touch(0.000)	week(0.000)	charger(0.000)	requir(0.000)	experi(0.000)	rate(0.000)	version(0.000)	respons(0.000)	view(0.000)	oper(0.000)	remov(0.000)	
Topic 27(0.012):	problem(0.061)	gps(0.055)	lock(0.053)	useless(0.050)	bad(0.048)	disappoint(0.047)	insid(0.045)	navig(0.045)	wast(0.042)	wrong(0.042)	complain(0.041)	terribl(0.041)	worst(0.041)	complaint(0.041)	junk(0.041)	troubl(0.041)	hate(0.041)	regret(0.040)	deal(0.001)	great(0.001)	week(0.001)	broken(0.001)	money(0.001)	start(0.001)	top(0.000)	weight(0.000)	excit(0.000)	qualiti(0.000)	help(0.000)	lot(0.000)	respond(0.000)	drop(0.000)	peopl(0.000)	easi(0.000)	complet(0.000)	upgrad(0.000)	absolut(0.000)	pick(0.000)	design(0.000)	price(0.000)	bought(0.000)	charg(0.000)	big(0.000)	arriv(0.000)	idea(0.000)	constant(0.000)	turn(0.000)	music(0.000)	experi(0.000)	plan(0.000)	
Topic 28(0.013):	support(0.058)	custom(0.054)	servic(0.053)	call(0.050)	tech(0.048)	problem(0.047)	contact(0.046)	seller(0.045)	advertis(0.042)	packag(0.040)	bad(0.036)	disappoint(0.035)	wrong(0.032)	wast(0.032)	troubl(0.032)	terribl(0.032)	worst(0.031)	junk(0.031)	complaint(0.031)	complain(0.031)	hate(0.031)	regret(0.031)	system(0.000)	slow(0.000)	egg(0.000)	amazon(0.000)	color(0.000)	respons(0.000)	person(0.000)	understand(0.000)	read(0.000)	wait(0.000)	reset(0.000)	total(0.000)	purchas(0.000)	friend(0.000)	wo(0.000)	rate(0.000)	base(0.000)	job(0.000)	compani(0.000)	price(0.000)	nt(0.000)	expect(0.000)	money(0.000)	kid(0.000)	real(0.000)	told(0.000)	return(0.000)	load(0.000)	
Topic 29(0.012):	easi(0.057)	hold(0.051)	set(0.050)	hand(0.045)	problem(0.044)	move(0.042)	carri(0.039)	click(0.039)	mous(0.038)	bad(0.037)	disappoint(0.036)	navig(0.035)	wast(0.033)	wrong(0.033)	complaint(0.032)	terribl(0.032)	troubl(0.032)	complain(0.032)	junk(0.032)	comfort(0.032)	hate(0.032)	worst(0.032)	regret(0.032)	reason(0.000)	work(0.000)	batteri(0.000)	love(0.000)	proper(0.000)	download(0.000)	applic(0.000)	break(0.000)	appear(0.000)	feel(0.000)	lot(0.000)	difficult(0.000)	version(0.000)	post(0.000)	great(0.000)	product(0.000)	requir(0.000)	turn(0.000)	peopl(0.000)	today(0.000)	piec(0.000)	simpli(0.000)	suck(0.000)	better(0.000)	video(0.000)	arriv(0.000)	power(0.000)	
Topic 30(0.015):	display(0.103)	featur(0.031)	screen(0.030)	mini(0.026)	control(0.023)	camera(0.017)	compar(0.017)	notic(0.014)	includ(0.013)	better(0.011)	retina(0.010)	time(0.008)	resolut(0.008)	color(0.008)	size(0.007)	edg(0.007)	price(0.006)	light(0.006)	expect(0.006)	top(0.005)	nt(0.005)	user(0.005)	pretti(0.005)	person(0.005)	smooth(0.005)	lot(0.005)	fact(0.004)	hold(0.004)	side(0.004)	fast(0.004)	power(0.004)	big(0.004)	softwar(0.004)	work(0.004)	weight(0.003)	definit(0.003)	app(0.003)	qualiti(0.003)	small(0.003)	high(0.003)	find(0.003)	feel(0.003)	issu(0.003)	point(0.003)	mention(0.003)	easi(0.003)	speaker(0.003)	deal(0.003)	processor(0.003)	factor(0.003)	
Topic 31(0.015):	googl(0.149)	nexus(0.118)	play(0.021)	android(0.020)	time(0.011)	phone(0.011)	screen(0.009)	find(0.007)	nt(0.007)	account(0.006)	better(0.006)	work(0.005)	root(0.005)	buy(0.005)	chrome(0.005)	easili(0.005)	app(0.005)	thing(0.004)	peopl(0.004)	fast(0.004)	store(0.004)	search(0.004)	help(0.004)	easi(0.004)	compar(0.004)	review(0.004)	good(0.003)	lot(0.003)	feel(0.003)	support(0.003)	allow(0.003)	high(0.003)	os(0.003)	side(0.003)	hardwar(0.003)	smooth(0.003)	consid(0.003)	set(0.003)	experi(0.003)	decid(0.003)	issu(0.003)	limit(0.003)	option(0.003)	box(0.003)	resolut(0.003)	light(0.003)	laptop(0.002)	access(0.002)	size(0.002)	expect(0.002)	
Topic 32(0.016):	batteri(0.276)	life(0.134)	hour(0.081)	long(0.008)	time(0.006)	short(0.006)	screen(0.005)	high(0.005)	good(0.004)	low(0.004)	better(0.004)	minut(0.003)	fast(0.003)	compar(0.003)	close(0.003)	nt(0.003)	pretti(0.003)	expect(0.003)	decent(0.002)	great(0.002)	notic(0.002)	extra(0.002)	case(0.002)	mode(0.002)	chang(0.002)	weight(0.002)	find(0.002)	usag(0.002)	full(0.002)	improv(0.002)	qualiti(0.002)	power(0.002)	app(0.002)	month(0.002)	star(0.002)	thing(0.002)	play(0.002)	con(0.002)	price(0.002)	light(0.002)	die(0.002)	perform(0.002)	save(0.002)	game(0.002)	read(0.002)	complet(0.002)	charg(0.002)	hope(0.002)	size(0.002)	start(0.002)	
