Topic 0(0.037):	screen(0.139)	nice(0.049)	good(0.043)	great(0.042)	respons(0.038)	size(0.033)	bright(0.028)	light(0.027)	display(0.026)	fast(0.024)	resolut(0.023)	touch(0.021)	beauti(0.019)	clear(0.018)	color(0.015)	tablet(0.015)	view(0.014)	sharp(0.013)	easi(0.013)	weight(0.011)	thin(0.010)	small(0.009)	better(0.009)	excel(0.009)	qualiti(0.009)	work(0.008)	pretti(0.008)	android(0.008)	hd(0.008)	amaz(0.008)	app(0.007)	love(0.007)	price(0.007)	processor(0.007)	awesom(0.006)	smooth(0.006)	high(0.005)	button(0.005)	graphic(0.005)	stylus(0.005)	memori(0.005)	time(0.005)	impress(0.005)	os(0.004)	big(0.004)	inch(0.004)	perfect(0.004)	best(0.004)	keyboard(0.004)	featur(0.004)	
Topic 11(0.012):	usb(0.102)	port(0.073)	adapt(0.051)	cabl(0.036)	hdmi(0.031)	full(0.031)	drive(0.029)	window(0.028)	charg(0.022)	nice(0.020)	flash(0.020)	micro(0.020)	power(0.019)	tablet(0.018)	extern(0.018)	nt(0.017)	good(0.015)	mini(0.015)	great(0.014)	connect(0.011)	size(0.010)	case(0.010)	love(0.009)	worth(0.009)	awesom(0.009)	recommend(0.009)	best(0.009)	keyboard(0.009)	dock(0.008)	devic(0.008)	excel(0.008)	happi(0.008)	amaz(0.008)	impress(0.008)	perfect(0.008)	big(0.008)	storag(0.007)	fast(0.006)	heavi(0.006)	display(0.006)	comput(0.006)	standard(0.006)	touchscreen(0.006)	graphic(0.006)	buy(0.006)	option(0.005)	fine(0.005)	screen(0.005)	work(0.005)	weight(0.005)	
Topic 12(0.018):	tablet(0.122)	nice(0.074)	great(0.062)	android(0.031)	gps(0.029)	hardwar(0.027)	work(0.027)	good(0.020)	lock(0.019)	best(0.019)	love(0.018)	window(0.018)	excel(0.017)	awesom(0.017)	featur(0.016)	softwar(0.016)	feel(0.016)	asus(0.015)	useless(0.015)	solid(0.015)	amaz(0.014)	review(0.013)	month(0.013)	price(0.012)	worth(0.011)	fast(0.011)	product(0.011)	recommend(0.010)	screen(0.010)	spec(0.010)	perfect(0.010)	basic(0.010)	happi(0.009)	nt(0.008)	sale(0.008)	impress(0.008)	thought(0.008)	function(0.008)	display(0.008)	qualiti(0.008)	light(0.007)	updat(0.007)	processor(0.006)	turn(0.006)	job(0.006)	list(0.005)	wifi(0.005)	star(0.005)	support(0.005)	firmwar(0.005)	
Topic 13(0.015):	great(0.065)	servic(0.050)	packag(0.039)	support(0.039)	work(0.031)	custom(0.029)	call(0.028)	good(0.028)	tech(0.028)	nice(0.026)	advertis(0.023)	tablet(0.021)	product(0.021)	box(0.020)	newegg(0.020)	item(0.016)	contact(0.015)	ship(0.015)	arriv(0.014)	unit(0.014)	best(0.014)	excel(0.014)	order(0.013)	amaz(0.013)	happi(0.012)	perfect(0.012)	compani(0.012)	laptop(0.012)	android(0.012)	number(0.010)	return(0.010)	replac(0.010)	recommend(0.010)	refurbish(0.010)	impress(0.010)	week(0.009)	love(0.009)	awesom(0.008)	worth(0.008)	asus(0.008)	instal(0.008)	brand(0.008)	time(0.008)	warranti(0.007)	bought(0.007)	issu(0.007)	day(0.007)	flash(0.007)	die(0.007)	money(0.006)	
Topic 14(0.013):	easi(0.089)	good(0.042)	hold(0.037)	nice(0.036)	set(0.033)	hand(0.031)	ipad(0.031)	carri(0.027)	great(0.026)	size(0.026)	excel(0.025)	love(0.018)	fast(0.017)	perfect(0.017)	price(0.017)	design(0.015)	best(0.014)	read(0.013)	devic(0.013)	watch(0.013)	happi(0.013)	big(0.013)	bit(0.012)	amaz(0.012)	impress(0.012)	awesom(0.012)	light(0.012)	screen(0.011)	move(0.011)	camera(0.011)	nt(0.011)	fair(0.010)	compar(0.010)	recommend(0.009)	batteri(0.009)	worth(0.009)	oper(0.009)	product(0.009)	system(0.009)	root(0.009)	app(0.008)	pretti(0.008)	smooth(0.008)	video(0.008)	life(0.007)	feel(0.007)	mode(0.007)	mini(0.006)	play(0.006)	figur(0.006)	
Topic 15(0.019):	screen(0.138)	touch(0.069)	nt(0.034)	small(0.026)	tablet(0.026)	bright(0.024)	respons(0.019)	work(0.019)	clear(0.017)	resolut(0.015)	hd(0.015)	inch(0.014)	time(0.014)	view(0.012)	beauti(0.012)	button(0.011)	disappoint(0.011)	problem(0.011)	bit(0.011)	window(0.010)	size(0.010)	thing(0.009)	color(0.009)	big(0.009)	bad(0.009)	product(0.008)	complaint(0.008)	complain(0.008)	peopl(0.008)	feel(0.008)	type(0.007)	issu(0.007)	open(0.007)	low(0.007)	updat(0.007)	cheap(0.007)	notic(0.007)	box(0.006)	app(0.006)	pretti(0.006)	easi(0.006)	wrong(0.006)	slow(0.006)	user(0.006)	light(0.006)	find(0.006)	video(0.006)	devic(0.005)	compar(0.005)	case(0.005)	
Topic 16(0.017):	app(0.111)	play(0.047)	nt(0.036)	instal(0.031)	game(0.031)	googl(0.029)	tablet(0.029)	work(0.024)	browser(0.020)	download(0.019)	problem(0.016)	store(0.015)	free(0.015)	market(0.013)	os(0.012)	time(0.012)	read(0.011)	access(0.011)	file(0.011)	load(0.010)	slow(0.009)	music(0.009)	issu(0.009)	stream(0.008)	web(0.008)	book(0.008)	easili(0.008)	netflix(0.008)	support(0.008)	easi(0.008)	video(0.007)	turn(0.007)	fine(0.007)	brows(0.007)	close(0.007)	updat(0.007)	softwar(0.007)	version(0.007)	bad(0.007)	devic(0.006)	pc(0.006)	flash(0.006)	decent(0.006)	lot(0.006)	disappoint(0.006)	reset(0.006)	fast(0.006)	complaint(0.006)	screen(0.005)	set(0.005)	
Topic 17(0.021):	price(0.071)	tablet(0.051)	nt(0.051)	problem(0.031)	devic(0.024)	purchas(0.023)	bought(0.022)	window(0.020)	con(0.018)	bad(0.017)	ship(0.016)	ipad(0.015)	newegg(0.013)	brand(0.013)	complain(0.012)	item(0.012)	refurbish(0.012)	real(0.011)	thing(0.011)	year(0.010)	product(0.010)	complaint(0.010)	disappoint(0.010)	receiv(0.010)	bit(0.009)	pro(0.009)	order(0.009)	month(0.009)	buy(0.009)	cost(0.009)	unit(0.008)	review(0.008)	gift(0.008)	work(0.007)	wrong(0.007)	includ(0.007)	expens(0.007)	full(0.007)	model(0.007)	time(0.007)	high(0.006)	sale(0.006)	pretti(0.006)	issu(0.006)	list(0.006)	android(0.006)	christma(0.006)	fair(0.006)	free(0.006)	read(0.006)	
Topic 18(0.021):	charg(0.088)	batteri(0.082)	charger(0.038)	nt(0.033)	life(0.032)	hour(0.031)	power(0.031)	day(0.028)	long(0.026)	plug(0.024)	time(0.022)	tablet(0.022)	usb(0.021)	port(0.020)	cabl(0.017)	work(0.013)	devic(0.013)	problem(0.013)	bad(0.012)	fulli(0.011)	phone(0.011)	short(0.010)	minut(0.010)	hdmi(0.010)	hold(0.010)	full(0.009)	thing(0.009)	replac(0.008)	longer(0.008)	button(0.007)	wifi(0.007)	complaint(0.007)	ipad(0.006)	wrong(0.006)	coupl(0.005)	faster(0.005)	start(0.005)	turn(0.005)	bit(0.005)	kid(0.005)	unit(0.005)	complain(0.005)	dead(0.005)	micro(0.004)	comput(0.004)	disappoint(0.004)	annoy(0.004)	card(0.004)	applic(0.004)	sd(0.004)	
Topic 19(0.015):	speaker(0.067)	sound(0.066)	tablet(0.047)	nt(0.037)	con(0.021)	good(0.021)	volum(0.020)	video(0.018)	asus(0.018)	qualiti(0.017)	ipad(0.017)	find(0.017)	problem(0.017)	bad(0.017)	expect(0.016)	work(0.016)	built(0.016)	better(0.015)	unit(0.013)	cover(0.012)	phone(0.011)	decent(0.011)	case(0.009)	samsung(0.009)	great(0.009)	turn(0.009)	screen(0.008)	plastic(0.008)	bit(0.008)	devic(0.008)	high(0.008)	time(0.008)	experi(0.007)	disappoint(0.007)	lot(0.007)	complaint(0.007)	notic(0.007)	softwar(0.007)	wifi(0.007)	complain(0.007)	feel(0.006)	hope(0.006)	android(0.006)	low(0.006)	wrong(0.006)	side(0.006)	fine(0.006)	cheap(0.005)	compar(0.005)	top(0.005)	
Topic 20(0.015):	camera(0.147)	qualiti(0.068)	face(0.052)	pictur(0.048)	front(0.047)	video(0.035)	work(0.033)	build(0.031)	nt(0.030)	wrong(0.023)	cheap(0.021)	screen(0.021)	good(0.021)	bad(0.021)	disappoint(0.019)	egg(0.019)	tablet(0.016)	problem(0.015)	brand(0.015)	side(0.013)	pretti(0.012)	complain(0.012)	thing(0.010)	great(0.010)	model(0.010)	speaker(0.010)	flash(0.009)	time(0.009)	enjoy(0.009)	complaint(0.008)	low(0.008)	resolut(0.008)	rate(0.008)	app(0.007)	devic(0.006)	issu(0.006)	play(0.006)	case(0.006)	worth(0.006)	plastic(0.006)	kindl(0.005)	hope(0.005)	hold(0.005)	ipad(0.005)	control(0.005)	turn(0.005)	fine(0.005)	nice(0.005)	impress(0.005)	reason(0.005)	
Topic 21(0.010):	fast(0.089)	processor(0.082)	speed(0.078)	bad(0.067)	weight(0.049)	light(0.044)	great(0.043)	core(0.042)	ram(0.041)	handl(0.040)	faster(0.034)	notic(0.032)	problem(0.029)	complain(0.027)	disappoint(0.023)	graphic(0.023)	size(0.022)	wrong(0.020)	complaint(0.019)	price(0.018)	slow(0.017)	con(0.016)	peopl(0.013)	usb(0.012)	love(0.011)	wifi(0.011)	process(0.009)	flash(0.008)	support(0.008)	design(0.007)	connect(0.007)	pc(0.006)	perfect(0.005)	replac(0.005)	absolut(0.004)	day(0.004)	pro(0.004)	keyboard(0.004)	bottom(0.004)	order(0.004)	sound(0.004)	small(0.004)	call(0.004)	remov(0.003)	amazon(0.003)	point(0.001)	reason(0.000)	hd(0.000)	touchscreen(0.000)	browser(0.000)	
Topic 22(0.013):	card(0.102)	sd(0.093)	slot(0.049)	micro(0.043)	memori(0.039)	storag(0.035)	gb(0.034)	tablet(0.034)	file(0.029)	intern(0.026)	nt(0.025)	microsd(0.023)	space(0.021)	usb(0.019)	app(0.018)	pc(0.015)	move(0.012)	instal(0.012)	allow(0.011)	hdmi(0.011)	drive(0.011)	port(0.011)	android(0.011)	problem(0.011)	access(0.010)	addit(0.010)	extern(0.009)	work(0.008)	download(0.007)	disappoint(0.007)	flash(0.007)	bad(0.007)	thing(0.006)	complaint(0.006)	complain(0.006)	program(0.006)	wrong(0.006)	year(0.005)	buy(0.005)	fine(0.005)	free(0.004)	featur(0.004)	add(0.004)	music(0.004)	extra(0.004)	store(0.004)	bought(0.004)	complet(0.004)	easi(0.004)	love(0.004)	
Topic 23(0.015):	connect(0.116)	wifi(0.114)	time(0.072)	network(0.050)	problem(0.040)	internet(0.038)	slow(0.029)	tablet(0.029)	devic(0.026)	wireless(0.025)	annoy(0.018)	work(0.017)	bad(0.016)	nt(0.015)	surf(0.014)	complaint(0.013)	set(0.013)	speed(0.013)	complain(0.013)	disappoint(0.012)	freez(0.012)	wrong(0.011)	year(0.011)	issu(0.010)	kindl(0.009)	drop(0.009)	lag(0.008)	day(0.008)	tech(0.008)	perfect(0.008)	window(0.008)	mode(0.007)	unit(0.007)	good(0.007)	person(0.007)	stay(0.007)	test(0.006)	constant(0.006)	perform(0.006)	great(0.006)	major(0.006)	googl(0.005)	order(0.005)	reboot(0.005)	easi(0.005)	amazon(0.005)	servic(0.005)	laptop(0.005)	view(0.005)	worth(0.005)	
Topic 24(0.016):	buy(0.096)	tablet(0.088)	keyboard(0.067)	nt(0.052)	dock(0.046)	thing(0.045)	month(0.044)	love(0.040)	type(0.035)	problem(0.031)	frustrat(0.030)	review(0.028)	find(0.026)	complaint(0.021)	disappoint(0.021)	model(0.019)	bad(0.016)	thought(0.015)	comput(0.013)	wrong(0.012)	great(0.012)	price(0.012)	crash(0.012)	complain(0.012)	chang(0.012)	product(0.011)	start(0.010)	wait(0.010)	year(0.009)	constant(0.009)	bit(0.008)	awesom(0.008)	brand(0.008)	second(0.007)	feel(0.007)	bought(0.006)	better(0.006)	longer(0.006)	point(0.005)	decid(0.005)	sale(0.005)	pretti(0.005)	cours(0.004)	laptop(0.004)	email(0.004)	con(0.004)	hardwar(0.004)	phone(0.004)	simpl(0.004)	day(0.004)	
Topic 25(0.020):	work(0.159)	tablet(0.102)	nt(0.083)	bluetooth(0.066)	return(0.054)	problem(0.052)	bought(0.050)	great(0.044)	keyboard(0.033)	fine(0.027)	tab(0.023)	money(0.020)	day(0.020)	month(0.020)	disappoint(0.018)	bad(0.016)	freez(0.014)	wrong(0.014)	busi(0.012)	complain(0.011)	purchas(0.011)	time(0.010)	complaint(0.010)	speaker(0.010)	samsung(0.009)	worth(0.009)	drop(0.009)	inch(0.009)	crack(0.007)	amaz(0.006)	mine(0.006)	screen(0.005)	batteri(0.005)	plug(0.004)	three(0.004)	microsoft(0.004)	mention(0.004)	final(0.004)	hope(0.003)	proper(0.003)	receiv(0.003)	touchscreen(0.002)	person(0.002)	hour(0.002)	notic(0.002)	addit(0.002)	mode(0.002)	test(0.002)	standard(0.002)	frustrat(0.002)	
Topic 26(0.008):	usb(0.093)	port(0.089)	hdmi(0.061)	star(0.055)	drive(0.047)	tablet(0.043)	disappoint(0.032)	cabl(0.030)	full(0.027)	devic(0.026)	adapt(0.026)	extern(0.026)	problem(0.024)	flash(0.023)	complaint(0.022)	heavi(0.020)	laptop(0.020)	support(0.019)	rate(0.019)	bad(0.017)	wrong(0.016)	complain(0.016)	lack(0.016)	huge(0.016)	easili(0.014)	nt(0.014)	connect(0.014)	deal(0.013)	limit(0.010)	mini(0.010)	root(0.010)	memori(0.008)	perform(0.007)	short(0.007)	start(0.007)	nice(0.007)	samsung(0.006)	standard(0.006)	carri(0.006)	cost(0.006)	manual(0.006)	review(0.006)	egg(0.006)	care(0.005)	day(0.005)	coupl(0.004)	asus(0.003)	display(0.003)	perfect(0.003)	os(0.003)	
Topic 27(0.012):	disappoint(0.240)	money(0.088)	bad(0.061)	guess(0.060)	lock(0.056)	useless(0.055)	gps(0.047)	problem(0.040)	wrong(0.039)	complain(0.035)	christma(0.034)	experi(0.032)	complaint(0.030)	wait(0.026)	item(0.025)	real(0.020)	figur(0.013)	unit(0.012)	defect(0.011)	complet(0.008)	check(0.008)	deal(0.007)	extrem(0.006)	paid(0.006)	open(0.006)	samsung(0.006)	weight(0.006)	carri(0.006)	learn(0.005)	constant(0.005)	reboot(0.004)	major(0.002)	rate(0.001)	month(0.000)	con(0.000)	pay(0.000)	perform(0.000)	close(0.000)	return(0.000)	bought(0.000)	second(0.000)	account(0.000)	slow(0.000)	issu(0.000)	asus(0.000)	tablet(0.000)	day(0.000)	pick(0.000)	charg(0.000)	send(0.000)	
Topic 28(0.014):	custom(0.114)	support(0.099)	servic(0.093)	tech(0.058)	call(0.047)	problem(0.043)	contact(0.039)	help(0.037)	product(0.029)	asus(0.023)	respons(0.020)	bad(0.018)	disappoint(0.017)	advertis(0.016)	amazon(0.015)	manufactur(0.014)	wrong(0.014)	complaint(0.013)	excel(0.013)	warranti(0.013)	time(0.013)	packag(0.012)	complain(0.012)	updat(0.012)	nt(0.011)	told(0.010)	appl(0.010)	email(0.010)	newegg(0.009)	oper(0.009)	send(0.009)	samsung(0.008)	day(0.008)	button(0.008)	love(0.007)	longer(0.006)	market(0.005)	reason(0.005)	amaz(0.005)	laptop(0.004)	useless(0.004)	android(0.004)	clear(0.004)	year(0.004)	includ(0.004)	requir(0.004)	better(0.004)	busi(0.004)	current(0.004)	extrem(0.004)	
Topic 29(0.011):	screen(0.152)	easi(0.116)	set(0.063)	lot(0.057)	hold(0.049)	hand(0.044)	side(0.035)	heavi(0.035)	problem(0.032)	move(0.032)	cheap(0.031)	bad(0.029)	carri(0.025)	case(0.024)	disappoint(0.022)	complaint(0.022)	ipad(0.022)	load(0.019)	complain(0.018)	wrong(0.018)	qualiti(0.018)	job(0.015)	bit(0.015)	drop(0.013)	feel(0.010)	fast(0.009)	prefer(0.008)	great(0.008)	care(0.007)	mode(0.007)	leav(0.005)	resolut(0.005)	notic(0.004)	tech(0.004)	consid(0.004)	site(0.004)	custom(0.004)	inch(0.004)	browser(0.003)	smooth(0.003)	offic(0.003)	appl(0.003)	stand(0.000)	window(0.000)	type(0.000)	kindl(0.000)	nt(0.000)	decent(0.000)	googl(0.000)	time(0.000)	
Topic 30(0.044):	kindl(0.088)	fire(0.063)	hdx(0.061)	love(0.025)	amazon(0.023)	hd(0.022)	tablet(0.020)	ipad(0.018)	nt(0.017)	read(0.016)	year(0.013)	devic(0.012)	display(0.011)	screen(0.011)	nexus(0.010)	purchas(0.010)	book(0.010)	app(0.009)	mini(0.009)	review(0.009)	good(0.009)	upgrad(0.008)	buy(0.008)	time(0.008)	better(0.007)	model(0.007)	featur(0.007)	best(0.007)	thing(0.007)	great(0.007)	batteri(0.006)	improv(0.006)	video(0.006)	compar(0.006)	experi(0.006)	bought(0.006)	price(0.006)	origin(0.006)	case(0.005)	work(0.005)	notic(0.005)	offer(0.005)	googl(0.005)	enjoy(0.005)	recommend(0.005)	user(0.004)	sound(0.004)	issu(0.004)	happi(0.004)	problem(0.004)	
Topic 31(0.040):	updat(0.038)	tablet(0.035)	screen(0.035)	button(0.022)	problem(0.021)	issu(0.021)	nt(0.020)	time(0.018)	app(0.017)	devic(0.017)	os(0.015)	touch(0.015)	power(0.015)	reset(0.013)	reboot(0.012)	volum(0.011)	instal(0.011)	work(0.011)	firmwar(0.010)	second(0.010)	softwar(0.010)	turn(0.010)	connect(0.010)	unit(0.010)	factori(0.009)	start(0.009)	keyboard(0.009)	thing(0.009)	freez(0.009)	dock(0.008)	window(0.008)	left(0.008)	system(0.008)	month(0.007)	requir(0.007)	android(0.007)	set(0.007)	wifi(0.007)	card(0.007)	side(0.007)	perform(0.006)	batteri(0.006)	coupl(0.006)	case(0.006)	boot(0.006)	day(0.006)	user(0.006)	crash(0.005)	week(0.005)	complet(0.005)	
Topic 32(0.048):	tablet(0.060)	app(0.027)	window(0.027)	screen(0.024)	nt(0.023)	work(0.020)	android(0.019)	samsung(0.018)	pen(0.018)	keyboard(0.016)	better(0.011)	great(0.010)	asus(0.010)	case(0.010)	galaxi(0.010)	softwar(0.010)	touch(0.010)	good(0.009)	devic(0.009)	stylus(0.009)	write(0.009)	feel(0.008)	ipad(0.008)	upgrad(0.008)	bit(0.008)	offic(0.008)	featur(0.008)	laptop(0.007)	os(0.007)	program(0.007)	product(0.007)	includ(0.007)	thing(0.007)	issu(0.007)	price(0.007)	nice(0.007)	find(0.006)	time(0.006)	surfac(0.006)	design(0.006)	hardwar(0.006)	full(0.006)	plastic(0.006)	function(0.006)	microsoft(0.006)	desktop(0.006)	pro(0.006)	best(0.005)	buy(0.005)	fine(0.005)	
